Date,Price
1/5/2009,2.299
1/12/2009,2.324
1/19/2009,2.307
1/26/2009,2.278
2/2/2009,2.256
2/9/2009,2.23
2/16/2009,2.197
2/23/2009,2.138
3/2/2009,2.095
3/9/2009,2.051
3/16/2009,2.023
3/23/2009,2.093
3/30/2009,2.225
4/6/2009,2.233
4/13/2009,2.234
4/20/2009,2.226
4/27/2009,2.207
5/4/2009,2.192
5/11/2009,2.223
5/18/2009,2.237
5/25/2009,2.278
6/1/2009,2.354
6/8/2009,2.501
6/15/2009,2.575
6/22/2009,2.619
6/29/2009,2.612
7/6/2009,2.598
7/13/2009,2.546
7/20/2009,2.501
7/27/2009,2.532
8/3/2009,2.554
8/10/2009,2.628
8/17/2009,2.656
8/24/2009,2.672
8/31/2009,2.679
9/7/2009,2.65
9/14/2009,2.638
9/21/2009,2.626
9/28/2009,2.606
10/5/2009,2.588
10/12/2009,2.604
10/19/2009,2.708
10/26/2009,2.805
11/2/2009,2.811
11/9/2009,2.805
11/16/2009,2.795
11/23/2009,2.792
11/30/2009,2.78
12/7/2009,2.777
12/14/2009,2.753
12/21/2009,2.731
12/28/2009,2.736
1/4/2010,2.801
1/11/2010,2.882
1/18/2010,2.874
1/25/2010,2.838
2/1/2010,2.787
2/8/2010,2.775
2/15/2010,2.761
2/22/2010,2.834
3/1/2010,2.865
3/8/2010,2.906
3/15/2010,2.926
3/22/2010,2.949
3/29/2010,2.942
4/5/2010,3.017
4/12/2010,3.073
4/19/2010,3.078
4/26/2010,3.082
5/3/2010,3.126
5/10/2010,3.131
5/17/2010,3.098
5/24/2010,3.025
5/31/2010,2.983
6/7/2010,2.949
6/14/2010,2.93
6/21/2010,2.962
6/28/2010,2.957
7/5/2010,2.925
7/12/2010,2.904
7/19/2010,2.899
7/26/2010,2.919
8/2/2010,2.928
8/9/2010,2.991
8/16/2010,2.979
8/23/2010,2.957
8/30/2010,2.938
9/6/2010,2.931
9/13/2010,2.943
9/20/2010,2.96
9/27/2010,2.951
10/4/2010,3
10/11/2010,3.066
10/18/2010,3.073
10/25/2010,3.067
11/1/2010,3.067
11/8/2010,3.116
11/15/2010,3.184
11/22/2010,3.171
11/29/2010,3.162
12/6/2010,3.197
12/13/2010,3.231
12/20/2010,3.248
12/27/2010,3.294
1/3/2011,3.331
1/10/2011,3.333
1/17/2011,3.407
1/24/2011,3.43
1/31/2011,3.438
2/7/2011,3.513
2/14/2011,3.534
2/21/2011,3.573
2/28/2011,3.716
3/7/2011,3.871
3/14/2011,3.908
3/21/2011,3.907
3/28/2011,3.932
4/4/2011,3.976
4/11/2011,4.078
4/18/2011,4.105
4/25/2011,4.098
5/2/2011,4.124
5/9/2011,4.104
5/16/2011,4.061
5/23/2011,3.997
5/30/2011,3.948
6/6/2011,3.94
6/13/2011,3.954
6/20/2011,3.95
6/27/2011,3.888
7/4/2011,3.85
7/11/2011,3.899
7/18/2011,3.923
7/25/2011,3.949
8/1/2011,3.937
8/8/2011,3.897
8/15/2011,3.835
8/22/2011,3.81
8/29/2011,3.82
9/5/2011,3.868
9/12/2011,3.862
9/19/2011,3.833
9/26/2011,3.786
10/3/2011,3.749
10/10/2011,3.721
10/17/2011,3.801
10/24/2011,3.825
10/31/2011,3.892
11/7/2011,3.887
11/14/2011,3.987
11/21/2011,4.01
11/28/2011,3.964
12/5/2011,3.931
12/12/2011,3.894
12/19/2011,3.828
12/26/2011,3.791
1/2/2012,3.783
1/9/2012,3.828
1/16/2012,3.854
1/23/2012,3.848
1/30/2012,3.85
2/6/2012,3.856
2/13/2012,3.943
2/20/2012,3.96
2/27/2012,4.051
3/5/2012,4.094
3/12/2012,4.123
3/19/2012,4.142
3/26/2012,4.147
4/2/2012,4.142
4/9/2012,4.148
4/16/2012,4.127
4/23/2012,4.085
4/30/2012,4.073
5/7/2012,4.057
5/14/2012,4.004
5/21/2012,3.956
5/28/2012,3.897
6/4/2012,3.846
6/11/2012,3.781
6/18/2012,3.729
6/25/2012,3.678
7/2/2012,3.648
7/9/2012,3.683
7/16/2012,3.695
7/23/2012,3.783
7/30/2012,3.796
8/6/2012,3.85
8/13/2012,3.965
8/20/2012,4.026
8/27/2012,4.089
9/3/2012,4.127
9/10/2012,4.132
9/17/2012,4.135
9/24/2012,4.086
10/1/2012,4.079
10/8/2012,4.094
10/15/2012,4.15
10/22/2012,4.116
10/29/2012,4.03
11/5/2012,4.01
11/12/2012,3.98
11/19/2012,3.976
11/26/2012,4.034
12/3/2012,4.027
12/10/2012,3.991
12/17/2012,3.945
12/24/2012,3.923
12/31/2012,3.918
